000.6411|+16.6450|    1| |MCG+03-01-015|1195|  1.50| 1.30|DBL SYS|14.9|     |
000.6422|+44.9283|    2| |MCG+07-01-000|1243|  1.10| 0.20|       |17.0|     |7
000.6913|+18.8950|    3| |MCG+03-01-018|1195|  2.00| 1.00|SBa    |14.8|     |5
000.7658| +4.2117|    4| |MCG+01-01-014|1465|  1.30| 0.80|Sb-c   |15.5|     |4
000.7906| -1.9049|    5| |MCG+00-01-021| 319|  1.30| 0.80|SBb/Sc |14.3|     |4
000.7916|+21.9784|    6| |MCG+04-01-013| 779|  1.00| 0.70|PECULR |14.4| 6900|
000.8164|+15.9784|    7| |MCG+03-01-019|1195|  1.50| 0.40|PECULR |14.9|     |6
000.8164|+16.1450|    8| |MCG+03-01-020|1195|  6.50| 2.70|Sa-b   |12.0| 1047|7
000.8409| +4.6284|    9| |MCG+01-01-000|1465|  1.30| 1.20|       |16.5|     |
000.8411| +8.6117|   10| |MCG+01-01-015|1465|  1.90| 1.70|Sc     |15.4|     |1
000.8417|+22.1117|   11| |MCG+04-01-014| 779|  1.10| 0.80|       |16.0|     |
000.8421|+29.7950|   12| |MCG+05-01-028|1257|  1.10| 0.90|Sc     |15.7|     |2
000.8671|+27.3617|   13| |MCG+04-01-015| 779|  1.10| 1.00|SB0/a  |15.0|     |1
000.8919|+23.2117|   14| |MCG+04-01-017| 779|  1.90| 1.00|Sc     |14.0|     |5
000.9409| +4.2784|   15| |MCG+01-01-017|1465|  1.50| 0.30|Sa-b   |16.0|     |6
000.9411| +7.4617|   16| |MCG+01-01-018|1465|  2.00| 2.00|Sb/Sc  |14.0|     |1
000.9665|+15.2117|   17| |MCG+02-01-017|  10|  3.00| 2.00|DWARF  |17.0|     |
000.9913|+10.8617|   18| |MCG+02-01-000|  10|  1.00| 0.90|COMPACT|15.7|     |
000.9919|+20.7450|   19| |MCG+03-01-021|1195|  4.00| 1.10|Sb/Sc  |12.7|     |6
001.0355|+80.2950|   20| |MCG+13-01-004|1213|  2.20| 1.40|       |16.0|     |
001.0411| +7.3617|   21| |MCG+01-01-019|1465|  1.10| 1.10|Sc     |15.1|     |1
001.0663|+10.3117|   22| |MCG+02-01-018|  10|  1.30| 0.80|S0     |16.0|     |4
001.0664|+10.7784|   23| |MCG+02-01-019|  10|  1.30| 0.90|SBb    |15.2|     |3
001.0672|+22.5950|   24| |MCG+04-01-018| 779|  1.20| 0.80|SBc    |15.4|     |
001.0911| +6.1617|   25| |MCG+01-01-020|1465|  1.10| 0.30|Sc     |16.0|     |6
001.0930|+31.4783|   26| |MCG+05-01-029|1257|  2.00| 1.80|SBb    |14.3|     |1
001.1161| +5.8450|   27| |MCG+01-01-021|1465|  2.20| 1.20|Sc     |15.3|     |4
001.1410| +5.1950|   28| |MCG+01-01-022|1465|  1.60| 0.70|S0-a   |13.9|     |6
001.1428|+28.3117|   29| |MCG+05-01-030|1257|  1.30| 1.20|E      |15.2|     |
001.1433|+33.5617|   30| |MCG+05-01-000|1257|  1.20| 0.15|S      |16.0|     |7
001.2170|+17.1950|   31| |MCG+03-01-022|1195|  1.40| 1.10|IRR    |15.3|     |
001.2416|+11.7117|   32| |MCG+02-01-000|  10|  1.30| 1.30|       |17.0|     |
001.2661| +5.1284|   33| |MCG+01-01-024|1465|  1.20| 0.90|SB0-a  |15.4|     |2
001.2912| +6.9117|   34| |MCG+01-01-025|1465|  1.90| 1.30|Sa/Sb  |14.5|     |3
001.3162| +6.2617|   35| |MCG+01-01-000|1465|  1.70| 1.50|DWRF SP|17.0|     |
001.3162| +6.7784|   36| |MCG+01-01-026|1465|  1.70| 0.80|Sa     |14.7|     |5
001.3661| +5.1784|   37| |MCG+01-01-028|1465|  1.30| 0.40|SBb    |15.5|     |
001.3661| +5.2284|   38| |MCG+01-01-027|1465|  1.40| 1.30|SB0    |14.6|     |1
001.3977|+53.6450|   39| |MCG+09-01-000| 636|  1.30| 0.60|Sc     |17.0|     |5
001.4435|+27.4450|   40| |MCG+04-01-021| 779|  1.20| 0.70|SB     |15.2|     |4
001.4930|+22.4783|   41| |MCG+04-01-022| 779|  1.20| 0.30|SBc    |16.0|     |6
001.5170|+13.1283|   42| |MCG+02-01-000|  10|  1.00| 1.00|DISTRBD|17.0|     |
001.5172|+14.4283|   43| |MCG+02-01-000|  10|  1.00| 0.30|       |16.5|     |6
001.5428|+19.7450|   44| |MCG+03-01-000|1195|  1.00| 0.90|       |17.0|     |1
001.5490|+54.5449|   45| |MCG+09-01-000| 636|  1.00| 0.40|Sc-IRR |15.5|     |6
001.5926|+17.4283|   46| |MCG+03-01-023|1195|  0.80| 0.60|DBL SYS|14.5|     |
001.6427|+17.2783|   47| |MCG+03-01-000|1195|  1.40| 0.20|       |17.0|     |7
001.6478|+47.8783|   48| |MCG+08-01-021| 839|  2.10| 1.90|SB c   |16.0|     |1
001.6666| +8.3617|   49| |MCG+01-01-030|1465|  1.40| 1.30|Sc     |15.4|     |1
001.6689|+26.1616|   50| |MCG+04-01-024| 779|  1.00| 0.30|Sa-b   |14.9|     |6
001.6913| +5.1117|   51| |MCG+01-01-032|1465|  1.10| 0.70|SBb-c  |15.3|     |3
001.6917| +8.6283|   52| |MCG+01-01-034|1465|  1.80| 1.80|Sc     |15.0|     |1
001.7180|+19.3116|   53| |MCG+03-01-025|1195|  1.40| 0.80|Sb/SBc |15.5|     |
001.7217|+41.7449|   54| |MCG+07-01-000|1243|  1.20| 0.10|Sc     |17.0|     |7
001.7480|+46.6616|   55| |MCG+08-01-022| 839|  1.20| 0.90|       |17.0|     |
001.7674|+14.0783|   56| |MCG+02-01-000|  10|  1.00| 0.80|Sc     |15.6|     |2
001.7944|+27.7116|   57| |MCG+04-01-025| 779|  1.80| 1.20|Sb     |13.4|     |3
001.8167| +8.3116|   58| |MCG+01-01-037|1465|  1.20| 0.70|S0?    |14.6|     |
001.8195|+27.6783|   59| |MCG+04-01-026| 779|  1.10| 0.70|Sa-b   |14.8|     |3
001.8203|+32.6116|   60| |MCG+05-01-032|1257|  1.80| 0.35|Sb     |13.4|     |6
001.8737|+47.0449|   61| |MCG+08-01-024| 839|  1.60| 1.40|S0     |14.3|     |1
001.9463|+35.3616|   62| |MCG+06-01-013|1247|  1.20| 0.70|(E)    |14.6|     |
001.9464|+35.9616|   63| |MCG+06-01-014|1247|  1.00| 0.70|IRR    |15.6|     |
001.9475|+40.8782|   64| |MCG+07-01-005|1243|  1.40| 1.10|KNOTS  |15.5|     |
001.9960|+33.0782|   65| |MCG+05-01-000|1257|  1.10| 0.70|       |13.8| 5100|
002.0171| +9.7116|   66| |MCG+01-01-038|1465|  1.50| 1.30|Sb/SBb |14.9|     |1
002.0418| +7.7783|   67| |MCG+01-01-039|1465|  1.50| 0.50|Sa-b   |15.4|     |6
002.0449|+27.0116|   68| |MCG+04-01-028| 779|  1.00| 0.55|SB     |14.4|     |
002.0450|+27.5282|   69| |MCG+04-01-027| 779|  1.30| 0.90|Sc     |14.7|     |4
002.0757|+49.7782|   70| |MCG+08-01-000| 839|  1.00| 0.80|       |16.5|     |
002.1492|+44.1115|   71| |MCG+07-01-000|1243|  1.20| 0.70|Sb-c   |15.7|     |4
002.1655| -0.7217|   72| |MCG+00-01-028| 319|  1.10| 0.50|Sa     |15.5|     |6
002.1725|+37.4449|   73| |MCG+06-01-015|1247|  1.60| 0.22|Sa     |14.5|     |7
002.1914| +4.6116|   74| |MCG+01-01-040|1465|  2.00| 1.70|Sc     |14.5|     |1
002.1932|+15.8116|   75| |MCG+03-01-026|1195|  3.00| 2.50|IRR    |13.3|     |
002.1948|+24.5282|   76| |MCG+04-01-029| 779|  1.10| 0.30|       |16.0|     |
002.1967|+33.4449|   77| |MCG+05-01-034|1257|  2.50| 0.70|Sb     |14.2|     |6
002.2197|+23.8282|   78| |MCG+04-01-030| 779|  1.30| 0.70|PECULR |14.5|     |
002.2451|+25.6282|   79| |MCG+04-01-031| 779|  1.70| 1.30|Sc     |15.7|     |2
002.2456|+27.7282|   80| |MCG+04-01-032| 779|  1.80| 1.00|S0     |12.5| 3110|2
002.2675|+10.8949|   81| |MCG+02-01-022|  10|  1.40| 0.40|Sb     |15.7|     |7
002.2694|+21.6282|   82| |MCG+03-01-027|1195|  1.20| 0.70|Sa     |14.9|     |4
002.3408| +0.6116|   83| |MCG+00-01-000| 319|  1.10| 0.12|Sb     |16.5|     |7
002.3722|+33.3282|   84| |MCG+05-01-036|1257|  1.70| 1.50|E-S0   |14.5|     |
002.3765|+47.3615|   85| |MCG+08-01-026| 839|  1.00| 0.45|Sb-c   |14.5|     |6
002.4461|+27.8448|   86| |MCG+05-01-039|1257|  1.80| 1.40|Sb     |14.9|     |2
002.4462|+28.3615|   87| |MCG+05-01-038|1257|  1.20| 1.20|E?     |15.1|     |
002.4665| +4.6949|   88| |MCG+01-01-041|1465|  1.20| 0.90|S0-a   |15.3|     |
002.4707|+25.9282|   89| |MCG+04-01-033| 779|  2.20| 1.60|SBa    |12.5| 4568|
002.4939|+16.9449|   90| |MCG+03-01-000|1195|  1.10| 0.30|DWARF  |18.0|     |
002.4963|+28.1615|   91| |MCG+05-01-040|1257|  1.40| 0.35|S      |15.7|     |6
002.4963|+28.2115|   92| |MCG+05-01-041|1257|  1.50| 1.30|Sb     |14.7|     |1
002.5722|+30.8615|   93| |MCG+05-01-042|1257|  2.60| 2.00|S IV   |15.6|     |2
002.5960|+25.8282|   94| |MCG+04-01-034| 779|  2.00| 1.10|Sb     |13.9|     |4
002.5968|+28.9948|   95| |MCG+05-01-043|1257|  1.90| 0.15|Sc     |15.7|     |7
002.6218|+29.0115|   96| |MCG+05-01-044|1257|  1.50| 0.60|S      |14.5|     |6
002.6468|+28.6781|   97| |MCG+05-01-045|1257|  1.30| 0.70|S0     |15.6|     |4
002.6480|+32.9948|   98| |MCG+05-01-046|1257|  1.20| 0.60|SBb    |13.9|     |5
002.6684|+13.7282|   99| |MCG+02-01-023|  10|  3.00| 3.00|DWRF SP|16.0|     |
002.6732|+33.3615|  100| |MCG+05-01-048|1257|  1.60| 0.70|Sb-c   |13.5|     |6
002.7212|+25.5615|  101| |MCG+04-01-035| 205|  1.40| 0.60|SBa    |15.4|     |5
002.7475|+30.0614|  102| |MCG+05-01-049|1257|  1.60| 1.30|SBa/Sa |14.8|     |2
002.7665| +4.2782|  103| |MCG+01-01-000|1465|  1.10| 1.10|S      |17.0|     |1
002.7923| +7.9948|  104| |MCG+01-01-042|1465|  1.20| 0.70|SBa    |16.0|     |4
002.8223|+28.9114|  105| |MCG+05-01-050|1257|  1.20| 1.10|SB0    |15.1|     |1
002.8420| +6.3781|  106| |MCG+01-01-043|1465|  2.70| 1.50|Sb/SBb |14.5|     |4
002.8973|+27.9448|  107| |MCG+05-01-000|1257|  1.10| 0.20|S      |16.0|     |7
002.9476|+28.5114|  108| |MCG+05-01-051|1257|  1.00| 0.50|SB:b   |14.8|     |5
002.9654| -1.0885|  109| |MCG+00-01-037| 319|  1.10| 1.00|S-IRR  |17.0|     |
002.9971|+26.3947|  110| |MCG+04-01-000| 205|  1.30| 0.80|Sc     |15.3|     |4
003.0435|+12.0447|  111| |MCG+02-01-024|  10|  1.30| 0.40|Sc     |15.4|     |6
003.0524|+41.7447|  112| |MCG+07-01-000|1243|  2.00| 2.00|DWRF SP|17.0|     |1
003.0711|+22.3281|  113| |MCG+04-01-037| 205|  1.20| 0.40|Sa     |14.9|     |6
003.0737|+31.0614|  114| |MCG+05-01-052|1257|  1.20| 1.10|Sc     |14.4|     |1
003.6249|+88.3779|  115| |MCG+15-01-001| 570|  2.30| 2.10|DWRF SP|16.5|     |
003.1670| +5.5114|  116| |MCG+01-01-045|1465|  1.20| 0.50|S      |15.4|     |6
003.1998|+33.3780|  117| |MCG+05-01-053|1257|  1.70| 1.20|Sc     |15.2|     |3
003.2214|+22.1114|  118| |MCG+04-01-041| 205|  1.10| 0.60|E-S0   |15.0|     |
003.2443|+14.4114|  119| |MCG+02-01-025|  10|  1.00| 0.60|PECULR |14.2|     |
003.2491|+30.9280|  120| |MCG+05-01-054|1257|  1.40| 1.30|SB0    |13.9|     |1
003.2522|+39.2447|  121| |MCG+06-01-017|1247|  1.20| 0.70|SBc    |15.4|     |4
003.3201|+17.0280|  122| |MCG+03-01-028|1195|  2.60| 0.40|IRR    |15.2|     |
003.3453|+17.4947|  123| |MCG+03-01-029|1195|  1.00| 1.00|S      |14.2|     |
003.3486|+28.3780|  124| |MCG+05-01-000|1257|  1.10| 0.20|Sa     |15.5|     |7
